Model,Description,Annual Return,Volatility,Sharpe,Sortino,Max Drawdown,Calmar,Win Rate,Beta vs SPY,Alpha vs SPY,Final NAV
SPY,S&P 500 ETF (Market Benchmark),13.70%,17.93%,0.65,1.12,-23.95%,0.57,52.55%,1.00,0.00%,2.5098
M0,Equal Weight Benchmark (Top50),18.55%,19.17%,0.86,1.46,-24.02%,0.77,52.71%,1.06,4.14%,3.3865
M1,Dual Expert (Raw 13F Blend),20.39%,20.60%,0.89,1.53,-25.66%,0.79,52.60%,1.14,5.09%,3.7800
M2,Dual Expert + Macro Regime Gate,16.53%,18.98%,0.77,1.17,-22.00%,0.75,51.83%,0.94,3.53%,2.9927
M3,Behavior Cloning (BC) Policy,18.59%,19.23%,0.86,1.46,-24.08%,0.77,52.71%,1.06,4.14%,3.3934
M4,BC + L1 Turnover Penalty,18.52%,19.17%,0.86,1.46,-24.02%,0.77,52.71%,1.06,4.11%,3.3804
M5,DAgger Closed-Loop Correction,18.55%,19.19%,0.86,1.46,-24.02%,0.77,52.60%,1.06,4.13%,3.3849
M6,DAgger + Constrained IRL Reward,18.33%,19.23%,0.85,1.44,-23.90%,0.77,52.44%,1.06,3.89%,3.3418
M7,Raw Unconstrained Overlay,2.27%,18.25%,0.01,0.02,-30.75%,0.07,50.61%,0.89,-10.13%,1.1748
M_Unified,★ 全模块深度融合最终策略 (All-Module Synthesis),12.52%,17.87%,0.59,0.91,-22.90%,0.55,51.72%,0.88,0.17%,2.3282
